8.17274947403041;0.0	9.363084292961513;0.0	8.43738739558682;0.0	6.844415408611576;0.0	6.348085087182108;0.0	
8.505154937610866;0.0	9.899971485815;0.0	8.893433279146787;0.0	7.651530283846436;0.0	7.015282965966876;0.0	
8.30241782137672;0.0	9.94942868440674;0.0	9.257288256713894;0.0	6.906679673628503;0.0	5.8277135335482475;0.0	
9.035155353391671;0.0	9.915700973347118;0.0	8.405914268893506;0.0	7.252174268126558;0.0	6.226188982139632;0.0	
9.074883042145714;0.0	10.034697203478695;0.0	8.670113543882323;0.0	7.925224958394962;0.0	7.210010539281202;0.0	
9.006139434965117;0.0	9.652846835936703;0.0	8.80514221028221;0.0	7.828586498777696;0.0	7.257354750490254;0.0	
7.314303634287684;0.0	9.569810418416589;0.0	8.46047985474658;0.0	7.087051077517969;0.0	6.422777243266571;0.0	
8.279132582877494;0.0	9.569985603696015;0.0	7.909884917788769;0.0	6.969238486321414;0.0	6.422237541792169;0.0	
8.380638331439899;0.0	9.773866314996578;0.0	8.803452626523704;0.0	7.627326155349691;0.0	7.076682854604776;0.0	
8.413228766235138;0.0	9.960664168853041;0.0	9.24028212635789;0.0	7.223752030706263;0.0	6.717860211634144;0.0	
8.17675116242628;0.0	9.893550937677704;0.0	9.180307322317818;0.0	7.389737768630778;0.0	6.330538889709283;0.0	
8.838900051201279;0.0	9.962502291931111;0.0	7.935607669964405;0.0	7.436877636430305;0.0	6.515563116915703;0.0	
9.079950891124525;0.0	9.685881272225377;0.0	8.983608871642417;0.0	8.038164618503181;0.0	7.849093390960722;0.0	
9.085540074242253;0.0	9.701281485364568;0.0	8.473660467446543;0.0	7.562132604570184;0.0	6.959557657636787;0.0	
6.860562602976982;0.0	9.829635721053764;0.0	8.510169455832736;0.0	7.003195046639205;0.0	6.199460698548213;0.0	
8.638634239358211;0.0	9.274420817720934;0.0	7.702676552412219;0.0	7.136901838912309;0.0	6.4277246706633715;0.0	
8.240845244303216;0.0	10.065466452088964;0.0	9.079449361249093;0.0	7.836287716370019;0.0	7.435183545311023;0.0	
7.546126425700477;0.0	10.094104511625682;0.0	9.104372421089398;0.0	6.795521586781588;0.0	5.9963297372953885;0.0	
7.531986755014043;0.0	10.0132898055625;0.0	8.795760751249555;0.0	7.493170809937811;0.0	6.493756257185437;0.0	
